,ga:pagePath,ga:source,ga:date,ga:pageviews,ga:sessions,ga:users,ga:newUsers,ga:sessionsPerUser,ga:bounces,ga:bounceRate,ga:pageLoadTime
0,/,(direct),20201112,8,7,8,7,0.875,3,42.857142857142854,0
1,/,(direct),20201113,14,12,11,10,1.0909090909090908,8,66.66666666666666,4786
2,/,(direct),20201114,7,5,6,3,0.8333333333333334,2,40.0,0
3,/,(direct),20201115,14,10,10,9,1.0,3,30.0,0
4,/,(direct),20201116,10,6,8,5,0.75,3,50.0,0
5,/,(direct),20201117,12,9,5,3,1.8,5,55.55555555555556,0
6,/,(direct),20201118,15,13,12,11,1.0833333333333333,5,38.46153846153847,0
7,/,(direct),20201119,10,10,10,7,1.0,4,40.0,0
8,/,(direct),20201120,7,7,6,4,1.1666666666666667,2,28.57142857142857,0
9,/,ar.pinterest.com,20201115,1,1,1,0,1.0,1,100.0,0
10,/,ar.pinterest.com,20201118,2,1,1,1,1.0,0,0.0,0
11,/,bing,20201112,2,1,1,1,1.0,0,0.0,0
12,/,bing,20201118,1,1,1,1,1.0,0,0.0,0
13,/,co.pinterest.com,20201112,1,1,1,1,1.0,1,100.0,0
14,/,google,20201112,40,27,27,19,1.0,6,22.22222222222222,0
15,/,google,20201113,55,34,38,24,0.8947368421052632,10,29.411764705882355,0
16,/,google,20201114,54,30,30,24,1.0,12,40.0,0
17,/,google,20201115,43,22,23,17,0.9565217391304348,7,31.818181818181817,0
18,/,google,20201116,52,29,31,21,0.9354838709677419,5,17.24137931034483,8346
19,/,google,20201117,56,36,38,28,0.9473684210526315,15,41.66666666666667,0
20,/,google,20201118,46,31,34,18,0.9117647058823529,9,29.03225806451613,0
21,/,google,20201119,57,36,35,21,1.0285714285714285,8,22.22222222222222,0
22,/,google,20201120,59,29,28,19,1.0357142857142858,7,24.137931034482758,0
23,/,homify.com.mx,20201114,4,1,1,1,1.0,0,0.0,0
24,/,instagram.com,20201115,1,1,1,1,1.0,1,100.0,0
25,/,instagram.com,20201119,1,1,1,1,1.0,0,0.0,0
26,/,l.instagram.com,20201114,3,1,1,1,1.0,0,0.0,0
27,/,l.instagram.com,20201115,6,4,3,1,1.3333333333333333,0,0.0,0
28,/,l.instagram.com,20201116,4,2,2,1,1.0,0,0.0,0
29,/,l.instagram.com,20201117,1,1,1,0,1.0,1,100.0,0
30,/,l.instagram.com,20201118,1,1,1,1,1.0,0,0.0,0
31,/,l.instagram.com,20201120,4,2,2,0,1.0,0,0.0,0
32,/,l.wl.co,20201113,3,1,2,1,0.5,1,100.0,0
33,/,l.wl.co,20201114,1,1,1,1,1.0,0,0.0,0
34,/,l.wl.co,20201116,1,1,1,0,1.0,0,0.0,0
35,/,l.wl.co,20201117,3,1,2,0,0.5,1,100.0,0
36,/,m.facebook.com,20201113,2,1,1,1,1.0,0,0.0,0
37,/,m.facebook.com,20201115,2,1,1,0,1.0,0,0.0,0
38,/,m.facebook.com,20201116,2,1,1,1,1.0,0,0.0,0
39,/,m.facebook.com,20201119,5,3,3,3,1.0,0,0.0,15184
40,/,mx.search.yahoo.com,20201113,1,1,1,1,1.0,0,0.0,4825
41,/,pinterest.com,20201112,14,11,12,11,0.9166666666666666,7,63.63636363636363,0
42,/,pinterest.com,20201113,6,4,4,4,1.0,2,50.0,0
43,/,pinterest.com,20201114,14,11,11,11,1.0,7,63.63636363636363,0
